2014/07/16,1407044,1.58,Apl,CL,30,
2014/07/16,Team Meeting,1.17,,TM,70,
2014/07/16,1407088,0.25,Cut,,,
2014/07/16,1407037,0.58,Cut,,,
2014/07/16,1407037,0.25,Cut,,,
2014/07/16,1407044,2.58,Cut,CL,145,
2014/07/16,1407011,0.42,Cut,,,
2014/07/16,1407075,1.58,Cut,,,
2014/07/16,1407002,1,Cut,,,
2014/07/16,Stock,2,Sp,,,Stock
2014/07/16,Stock,1.25,Sp,,,Stock
2014/07/16,Stock,1.58,Sp,,,Stock
2014/07/16,Stock,3,Sp,,,Stock
2014/07/16,1407017,1.38,Apl,,,
2014/07/16,1407008,0.62,Apl,,,
2014/07/16,1407008,1.43,Apl,,,
2014/07/16,Team Meeting,0.12,,TM,7,
2014/07/16,1407008,0.43,Apl,,,
2014/07/16,1407052,2.72,Apl,,,
2014/07/16,1406172,1.62,Apl,,,
2014/07/16,1407089,1.75,Pol,,,
2014/07/16,1407089,2.83,Pol,,,
2014/07/16,1407089,2.5,Pol,,,
2014/07/16,1407088,0.25,Pol,,,
2014/07/16,1407088,0.25,Wel,,,
2014/07/16,1406164,1.5,Pk,,,
2014/07/16,1407025,0.5,Apl,CL,15,Tea
2014/07/16,1407025,0.33,Apl,,,
2014/07/16,1407027,2.5,Apl,CL,15,Tea
2014/07/16,1407027,0.25,Apl,,,
2014/07/16,1407077,0.75,Apl,,,
2014/07/16,1407064,2,Apl,,,
2014/07/16,Team Meeting,0.42,,TM,25,
2014/07/16,1407089,0.15,Apl,,,
2014/07/16,1407073,0.22,Apl,,,
2014/07/16,1407017,0.55,Apl,,,Stk to Job
2014/07/16,1407008,0.67,Apl,,,
2014/07/16,1407008,1.98,Apl,,,
2014/07/16,1407052,0.85,Apl,,,
2014/07/16,1407052,1.15,Apl,,,
2014/07/16,1407011,0.17,Apl,,,
2014/07/16,1407008,1.22,Apl,,,
2014/07/16,1406172,0.47,Apl,,,
2014/07/16,Schedule,0.75,,US,45,
2014/07/16,Safety Labels,1.08,Apl,US,65,
2014/07/17,STK14018,2,Bol,,,Stock
2014/07/17,STK14018,2.83,Bol,,,Stock
